RVCNAME,POSREFWORKSTATIONID
Bluespoon Market,50
Bluespoon Market,51
Louies,59
Louies,60
Market East,17
Market East,18
Market East,19
Market East,20
Market Pollock C-Store,73
Market Pollock C-Store,76
Market Pollock C-Store,77
Market Pollock C-Store,80
SiSu,25
SiSu,26
SiSu,27
SiSu,29
